id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAP
56,7.46485632748,5.4293907403,2011,LSMS_NGA2010,0.819672131147541,29.4,24.6,1351
57,10.4839449376,11.3966333392,2011,LSMS_NGA2010,4.41612516560469,33.0,23.9,702
58,9.86015744722,11.1997429657,2011,LSMS_NGA2010,1.75438596491228,31.1,23.5,746
59,7.91724465814,5.77211251871,2011,LSMS_NGA2010,1.55695335367752,29.4,24.6,1240
60,7.65536420745,7.28227086573,2011,LSMS_NGA2010,8.88494002665482,29.5,24.8,1329
61,7.23891062262,7.23659197226,2011,LSMS_NGA2010,3.52112676056338,30.1,25.3,1563
62,7.48888422073,7.65083462038,2011,LSMS_NGA2010,4.44444444444445,29.1,24.7,1372
63,8.43075126585,4.57397047246,2011,LSMS_NGA2010,7.06339396079817,30.6,25.4,1119
64,10.8857336676,5.862466598,2011,LSMS_NGA2010,1.96147659958417,31.7,24.6,886
65,10.4307765955,5.55735774683,2011,LSMS_NGA2010,0.262629187464022,31.9,25.6,902
66,9.63134879803,6.37927524336,2011,LSMS_NGA2010,0.208325955122423,31.6,25.4,961
67,8.1299959029,4.3959858225,2011,LSMS_NGA2010,4.33333333333333,29.9,24.8,1183
68,8.32841838002,3.56125462387,2011,LSMS_NGA2010,0.814470424542709,30.2,24.9,1091
69,5.01417184373,6.54474998558,2011,LSMS_NGA2010,9.45560906729872,28.7,25.6,2357
70,5.01417184373,6.54474998558,2011,LSMS_NGA2010,8.94689753170886,28.7,25.6,2357
71,5.01417184373,6.54474998558,2011,LSMS_NGA2010,9.84473447344734,28.7,25.6,2357
72,5.14601648677,6.61622345941,2011,LSMS_NGA2010,7.30978319724502,28.8,25.6,2358
73,5.14601648677,6.61622345941,2011,LSMS_NGA2010,7.23045296661232,28.8,25.6,2358
74,5.14601648677,6.61622345941,2011,LSMS_NGA2010,8.22050290135396,28.8,25.6,2358
75,5.25625865911,6.61941404124,2011,LSMS_NGA2010,5.26187576126675,28.9,25.7,2292
76,5.31524834074,7.4334346461,2013,LSMS_NGA2012,3.52017977807028,28.6,25.1,2079
77,9.68199592163,11.8269506538,2013,LSMS_NGA2012,0.511875511875512,33.2,25.8,783
78,9.68199592163,11.8269506538,2013,LSMS_NGA2012,1.44296358484626,33.2,25.8,783
79,9.68199592163,11.8269506538,2013,LSMS_NGA2012,0.444129605901594,33.2,25.8,783
80,9.68199592163,11.8269506538,2013,LSMS_NGA2012,9.12450385510288,33.2,25.8,783
81,9.68199592163,11.8269506538,2013,LSMS_NGA2012,0.644407402952245,33.2,25.8,783
82,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.47378395451674,33.6,26.1,723
83,9.35668119389,12.1731637317,2013,LSMS_NGA2012,3.89408936838149,33.6,26.1,723
84,9.35668119389,12.1731637317,2013,LSMS_NGA2012,3.35221399371003,33.6,26.1,723
85,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.674490759476595,33.6,26.1,723
86,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.178189593727726,33.6,26.1,723
87,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.681013347861618,33.6,26.1,723
88,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.649197483710553,33.6,26.1,723
89,9.35668119389,12.1731637317,2013,LSMS_NGA2012,2.97766749379653,33.6,26.1,723
90,9.35668119389,12.1731637317,2013,LSMS_NGA2012,4.36350942518036,33.6,26.1,723
91,9.33287881009,11.7819675423,2013,LSMS_NGA2012,3.72531975661244,33.7,26.1,777
92,9.33287881009,11.7819675423,2013,LSMS_NGA2012,5.46351057872236,33.7,26.1,777
93,9.33287881009,11.7819675423,2013,LSMS_NGA2012,2.34205749751156,33.7,26.1,777
94,9.33287881009,11.7819675423,2013,LSMS_NGA2012,1.52434377000701,33.7,26.1,777
95,8.30266963237,12.0444336999,2013,LSMS_NGA2012,0.453288608857259,30.5,24.5,1045
96,8.30266963237,12.0444336999,2013,LSMS_NGA2012,4.89875898105813,30.5,24.5,1045
97,8.30266963237,12.0444336999,2013,LSMS_NGA2012,2.97840655249442,30.5,24.5,1045
98,8.30266963237,12.0444336999,2013,LSMS_NGA2012,1.99362041467305,30.5,24.5,1045
99,8.30266963237,12.0444336999,2013,LSMS_NGA2012,1.99713743634124,30.5,24.5,1045
100,8.95937097796,12.1543140636,2013,LSMS_NGA2012,0.135903138127008,32.7,25.7,857
101,8.95937097796,12.1543140636,2013,LSMS_NGA2012,2.17746325530757,32.7,25.7,857
102,8.95937097796,12.1543140636,2013,LSMS_NGA2012,2.25109338821713,32.7,25.7,857
103,8.95937097796,12.1543140636,2013,LSMS_NGA2012,0.881652805125342,32.7,25.7,857
104,8.95937097796,12.1543140636,2013,LSMS_NGA2012,0.99601593625498,32.7,25.7,857
105,8.95937097796,12.1543140636,2013,LSMS_NGA2012,4.00882260554576,32.7,25.7,857
106,8.95937097796,12.1543140636,2013,LSMS_NGA2012,8.0,32.7,25.7,857
107,8.95937097796,12.1543140636,2013,LSMS_NGA2012,0.993788819875776,32.7,25.7,857
108,10.7021170344,13.4417466208,2013,LSMS_NGA2012,2.44967950026538,32.3,23.2,727
109,10.7021170344,13.4417466208,2013,LSMS_NGA2012,3.42239156722718,32.3,23.2,727
110,10.7021170344,13.4417466208,2013,LSMS_NGA2012,0.486144871171609,32.3,23.2,727
111,10.7021170344,13.4417466208,2013,LSMS_NGA2012,0.744047619047619,32.3,23.2,727
112,10.2710717474,13.3077304864,2013,LSMS_NGA2012,3.24464633354964,31.4,23.0,721
113,10.2710717474,13.3077304864,2013,LSMS_NGA2012,1.77967609894999,31.4,23.0,721
114,10.2710717474,13.3077304864,2013,LSMS_NGA2012,3.42348510783978,31.4,23.0,721
115,10.2686739218,13.2386102614,2013,LSMS_NGA2012,1.41793690180787,31.8,23.4,723
116,10.2686739218,13.2386102614,2013,LSMS_NGA2012,0.58841527996799,31.8,23.4,723
117,10.2686739218,13.2386102614,2013,LSMS_NGA2012,1.62284972411555,31.8,23.4,723
118,10.2686739218,13.2386102614,2013,LSMS_NGA2012,0.445732114998886,31.8,23.4,723
119,10.2832908043,12.8870466619,2013,LSMS_NGA2012,2.95845021037868,32.0,23.5,720
120,10.2832908043,12.8870466619,2013,LSMS_NGA2012,3.45781466113416,32.0,23.5,720
121,10.2832908043,12.8870466619,2013,LSMS_NGA2012,0.71120383101797,32.0,23.5,720
122,10.2832908043,12.8870466619,2013,LSMS_NGA2012,0.304404736537701,32.0,23.5,720
123,10.2832908043,12.8870466619,2013,LSMS_NGA2012,0.236983671825011,32.0,23.5,720
124,10.2832908043,12.8870466619,2013,LSMS_NGA2012,0.613101989515956,32.0,23.5,720
125,10.1941516025,12.4560676383,2013,LSMS_NGA2012,2.09940691754579,32.3,24.1,801
126,10.1941516025,12.4560676383,2013,LSMS_NGA2012,1.63323080273294,32.3,24.1,801
127,10.1941516025,12.4560676383,2013,LSMS_NGA2012,1.85412659049297,32.3,24.1,801
128,10.1941516025,12.4560676383,2013,LSMS_NGA2012,1.35671956063994,32.3,24.1,801
129,9.6929650288,12.6395843417,2013,LSMS_NGA2012,0.743693479295574,33.5,25.6,717
130,9.6929650288,12.6395843417,2013,LSMS_NGA2012,0.333433363342336,33.5,25.6,717
131,9.6929650288,12.6395843417,2013,LSMS_NGA2012,0.778755548633284,33.5,25.6,717
132,5.01159047312,7.94962641359,2013,LSMS_NGA2012,4.44413582390112,28.7,25.3,2363
133,5.01159047312,7.94962641359,2013,LSMS_NGA2012,2.94092986207186,28.7,25.3,2363
134,4.93447621662,7.96732908139,2013,LSMS_NGA2012,1.43918809940323,28.6,25.3,2380
135,4.93447621662,7.96732908139,2013,LSMS_NGA2012,1.09948931614658,28.6,25.3,2380
136,4.93447621662,7.96732908139,2013,LSMS_NGA2012,3.19461600715594,28.6,25.3,2380
137,4.86465103466,7.84994924205,2013,LSMS_NGA2012,0.707844330874754,28.5,25.3,2420
138,4.9211152487,8.02685220823,2013,LSMS_NGA2012,1.97532328864634,28.7,25.4,2546
139,4.9211152487,8.02685220823,2013,LSMS_NGA2012,2.5023832221163,28.7,25.4,2546
140,4.68817896818,7.70875490803,2013,LSMS_NGA2012,1.50053022269353,28.5,25.2,2485
141,4.94791457045,7.7583190461,2013,LSMS_NGA2012,1.01714831270885,28.6,25.3,2364
142,4.94791457045,7.7583190461,2013,LSMS_NGA2012,4.92031233286983,28.6,25.3,2364
143,4.94791457045,7.7583190461,2013,LSMS_NGA2012,1.01048376910446,28.6,25.3,2364
144,5.08858328195,7.73858652865,2013,LSMS_NGA2012,1.95810930101918,28.5,25.2,2226
145,5.08858328195,7.73858652865,2013,LSMS_NGA2012,7.52197981113644,28.5,25.2,2226
146,5.08858328195,7.73858652865,2013,LSMS_NGA2012,4.60344600815468,28.5,25.2,2226
147,5.08858328195,7.73858652865,2013,LSMS_NGA2012,2.95128723343974,28.5,25.2,2226
148,5.08858328195,7.73858652865,2013,LSMS_NGA2012,3.16348435205062,28.5,25.2,2226
149,6.16779029063,7.00668904073,2013,LSMS_NGA2012,2.84738041002278,29.4,25.2,1896
150,6.16779029063,7.00668904073,2013,LSMS_NGA2012,4.98988536749831,29.4,25.2,1896
151,6.16779029063,7.00668904073,2013,LSMS_NGA2012,8.25763831544178,29.4,25.2,1896
152,6.29487701088,7.06416881346,2013,LSMS_NGA2012,1.05008501649845,30.1,25.7,1894
153,6.29487701088,7.06416881346,2013,LSMS_NGA2012,1.18441312329741,30.1,25.7,1894
154,6.29487701088,7.06416881346,2013,LSMS_NGA2012,0.49454353631598,30.1,25.7,1894
155,6.31316440344,6.96516116294,2013,LSMS_NGA2012,0.647936968691686,30.1,25.7,1853
156,6.31316440344,6.96516116294,2013,LSMS_NGA2012,1.31921770390159,30.1,25.7,1853
157,6.31316440344,6.96516116294,2013,LSMS_NGA2012,1.07100781835707,30.1,25.7,1853
158,6.31316440344,6.96516116294,2013,LSMS_NGA2012,5.1417516662489,30.1,25.7,1853
159,6.31316440344,6.96516116294,2013,LSMS_NGA2012,1.59600997506234,30.1,25.7,1853
160,6.10137761736,7.18988708702,2013,LSMS_NGA2012,0.370207139709123,29.7,25.6,2026
161,6.10137761736,7.18988708702,2013,LSMS_NGA2012,0.58263958139587,29.7,25.6,2026
162,6.10137761736,7.18988708702,2013,LSMS_NGA2012,0.306740625239641,29.7,25.6,2026
