,id,placeholder1,Lat,Lon,HarvestYear,placeholder2
57101,57101,.,-13.966666666666669,33.65,2017,.
57103,57103,.,-13.966666666666669,33.65,2017,.
57105,57105,.,-13.966666666666669,33.65,2017,.
57827,57827,.,-13.966666666666669,33.65,2017,.
57829,57829,.,-13.966666666666669,33.65,2017,.
57831,57831,.,-13.966666666666669,33.65,2017,.
57959,57959,.,-1.9102055,30.5046693,2017,.
57960,57960,.,-1.9102055,30.5046693,2017,.
57961,57961,.,-1.9102055,30.5046693,2017,.
57962,57962,.,-1.9102055,30.5046693,2017,.
57963,57963,.,-1.9102055,30.5046693,2017,.
57964,57964,.,-1.9102055,30.5046693,2017,.
57965,57965,.,-1.9102055,30.5046693,2017,.
57966,57966,.,-1.9102055,30.5046693,2017,.
57967,57967,.,-1.9102055,30.5046693,2017,.
57968,57968,.,-1.9102055,30.5046693,2017,.
57969,57969,.,-1.9102055,30.5046693,2017,.
57970,57970,.,-1.9102055,30.5046693,2017,.
57971,57971,.,-1.9102055,30.5046693,2017,.
57972,57972,.,-1.9102055,30.5046693,2017,.
57973,57973,.,-1.9102055,30.5046693,2017,.
57974,57974,.,-1.9102055,30.5046693,2017,.
57975,57975,.,-1.9102055,30.5046693,2017,.
57976,57976,.,-1.9102055,30.5046693,2017,.
57977,57977,.,-1.9102055,30.5046693,2017,.
57978,57978,.,-1.9102055,30.5046693,2017,.
57979,57979,.,-1.9102055,30.5046693,2017,.
57980,57980,.,-1.9102055,30.5046693,2017,.
57981,57981,.,-1.9102055,30.5046693,2017,.
57982,57982,.,-1.9102055,30.5046693,2017,.
57983,57983,.,-1.9102055,30.5046693,2017,.
57984,57984,.,-1.9102055,30.5046693,2017,.
57985,57985,.,-1.9102055,30.5046693,2017,.
57986,57986,.,-1.9102055,30.5046693,2017,.
57987,57987,.,-1.9102055,30.5046693,2017,.
57988,57988,.,-1.9102055,30.5046693,2017,.
57989,57989,.,-1.9102055,30.5046693,2017,.
57990,57990,.,-1.9102055,30.5046693,2017,.
57991,57991,.,-1.9102055,30.5046693,2017,.
57992,57992,.,-1.9102055,30.5046693,2017,.
57993,57993,.,-1.9102055,30.5046693,2017,.
