id,placeholder1,Lat,Lon,placeholder2
66889,.,-1.5079578,29.77966,.
66890,.,-1.5079578,29.77966,.
66891,.,-1.5079578,29.77966,.
66892,.,-1.5079578,29.77966,.
66893,.,-1.5068384,29.78865,.
66894,.,-1.5068384,29.78865,.
66895,.,-1.5068384,29.78865,.
66896,.,-1.5068384,29.78865,.
66897,.,-1.5011748,29.78414,.
66898,.,-1.5011748,29.78414,.
66899,.,-1.5011748,29.78414,.
66900,.,-1.5011748,29.78414,.
66901,.,-1.5061567,29.78541,.
66902,.,-1.5061567,29.78541,.
66903,.,-1.5072012,29.77475,.
66904,.,-1.5072012,29.77475,.
66905,.,-1.5072012,29.77475,.
66906,.,-1.5072012,29.77475,.
66907,.,-1.5082758,29.78038,.
66908,.,-1.5082758,29.78038,.
66909,.,-1.5082758,29.78038,.
66910,.,-1.5082758,29.78038,.
66911,.,-1.5099401,29.78599,.
66912,.,-1.5099401,29.78599,.
66913,.,-1.5099401,29.78599,.
66914,.,-1.5075425,29.7891,.
66915,.,-1.5075425,29.7891,.
66916,.,-1.5075425,29.7891,.
66917,.,-1.5075425,29.7891,.
66918,.,-1.5183666,29.77972,.
66919,.,-1.5183666,29.77972,.
66920,.,-1.5183666,29.77972,.
66921,.,-1.5183666,29.77972,.
66922,.,-1.4971288,29.77041,.
66923,.,-1.4971288,29.77041,.
66924,.,-1.4971288,29.77041,.
66925,.,-1.505162,29.79087,.
66926,.,-1.505162,29.79087,.
66927,.,-1.505162,29.79087,.
66928,.,-1.505162,29.79087,.
66929,.,-1.5003545,29.78424,.
66930,.,-1.5003545,29.78424,.
66931,.,-1.5003545,29.78424,.
66932,.,-1.5137177,29.59214,.
66933,.,-1.5137177,29.59214,.
66934,.,-1.5137177,29.59214,.
66935,.,-1.5137177,29.59214,.
66936,.,-1.5080766,29.77803,.
66937,.,-1.5080766,29.77803,.
66938,.,-1.5080766,29.77803,.
66939,.,-1.5080766,29.77803,.
66940,.,-1.5171466,29.78141,.
66941,.,-1.5171466,29.78141,.
66942,.,-1.5171466,29.78141,.
66943,.,-1.5171466,29.78141,.
66944,.,-2.6774277,29.04552,.
66945,.,-2.6774277,29.04552,.
66946,.,-2.6774277,29.04552,.
66947,.,-2.6774277,29.04552,.
66948,.,-2.6774277,29.04552,.
66949,.,-2.6803424,29.04708,.
66950,.,-2.6803424,29.04708,.
66951,.,-2.6803424,29.04708,.
66952,.,-2.6803424,29.04708,.
66953,.,-2.6803424,29.04708,.
66954,.,-2.6224208,28.98991,.
66955,.,-2.6224208,28.98991,.
66956,.,-2.6224208,28.98991,.
66957,.,-2.6224208,28.98991,.
66958,.,-2.6224208,28.98991,.
66959,.,-2.6803877,29.04711,.
66960,.,-2.6803877,29.04711,.
66961,.,-2.6803877,29.04711,.
66962,.,-2.6803877,29.04711,.
66963,.,-2.6803877,29.04711,.
66964,.,-2.6803381,29.0471,.
66965,.,-2.6803381,29.0471,.
66966,.,-2.6803381,29.0471,.
66967,.,-2.6803381,29.0471,.
66968,.,-2.6803381,29.0471,.
66969,.,-2.6194025,28.99409,.
66970,.,-2.6194025,28.99409,.
66971,.,-2.6194025,28.99409,.
66972,.,-2.6194025,28.99409,.
66973,.,-2.6194025,28.99409,.
66974,.,-2.624817,29.00392,.
66975,.,-2.624817,29.00392,.
66976,.,-2.624817,29.00392,.
66977,.,-2.624817,29.00392,.
66978,.,-2.624817,29.00392,.
66979,.,-2.6189337,28.99282,.
66980,.,-2.6189337,28.99282,.
66981,.,-2.6189337,28.99282,.
66982,.,-2.6189337,28.99282,.
66983,.,-2.6189337,28.99282,.
66984,.,-2.6196251,28.99415,.
66985,.,-2.6196251,28.99415,.
66986,.,-2.6196251,28.99415,.
66987,.,-2.6196251,28.99415,.
66988,.,-2.6196251,28.99415,.
66989,.,-2.6652901,29.03125,.
66990,.,-2.6652901,29.03125,.
66991,.,-2.6652901,29.03125,.
66992,.,-2.6652901,29.03125,.
66993,.,-2.6652901,29.03125,.
66994,.,-2.6247329,29.00366,.
66995,.,-2.6247329,29.00366,.
66996,.,-2.6247329,29.00366,.
66997,.,-2.6247329,29.00366,.
66998,.,-2.6247329,29.00366,.
66999,.,-2.6193934,28.99414,.
67000,.,-2.6193934,28.99414,.
67001,.,-2.6193934,28.99414,.
67002,.,-2.6193934,28.99414,.
67003,.,-2.6193934,28.99414,.
67004,.,-2.6291037,29.0076,.
67005,.,-2.6291037,29.0076,.
67006,.,-2.6291037,29.0076,.
