id,placeholder1,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,DD_0,DD5,DD_18,DD18,Eref,CMD
579,.,5.924337,6.990141,.,27.6,29.8,25.6,4.2,2103,0,8115,8,3450,1918,601
580,.,10.48465,12.356298,.,27.4,32.4,22.9,9.5,1121,0,8039,14,3355,2161,1300
581,.,10.48465,12.356298,.,27.4,32.4,22.9,9.5,1121,0,8039,14,3355,2161,1300
582,.,10.48465,12.356298,.,27.4,32.4,22.9,9.5,1121,0,8039,14,3355,2161,1300
583,.,10.48465,12.356298,.,27.4,32.4,22.9,9.5,1121,0,8039,14,3355,2161,1300
584,.,10.48465,12.356298,.,27.4,32.4,22.9,9.5,1121,0,8039,14,3355,2161,1300
585,.,10.27729,12.202428,.,28.8,33.7,24.6,9.1,1223,0,8530,7,3837,2263,1353
586,.,10.27729,12.202428,.,28.8,33.7,24.6,9.1,1223,0,8530,7,3837,2263,1353
587,.,6.443056,6.583245,.,28,30.5,26.2,4.3,1972,0,8255,7,3586,1907,654
588,.,6.443056,6.583245,.,28,30.5,26.2,4.3,1972,0,8255,7,3586,1907,654
589,.,6.398851,6.568691,.,27.6,30,25.8,4.1,1954,0,8105,9,3439,1871,622
590,.,6.398851,6.568691,.,27.6,30,25.8,4.1,1954,0,8105,9,3439,1871,622
591,.,6.135087,6.279515,.,27.5,29.5,25.6,3.9,1907,0,8054,9,3390,1908,635
592,.,6.115543,6.176619,.,27.5,29.5,25.6,3.9,1935,0,8072,9,3408,1912,635
593,.,6.115543,6.176619,.,27.5,29.5,25.6,3.9,1935,0,8072,9,3408,1912,635
594,.,6.127198,6.194917,.,27.5,29.5,25.6,3.9,1928,0,8061,9,3397,1910,634
595,.,9.209537,8.47389,.,26.9,30.9,24.7,6.2,1665,0,7857,13,3188,1978,965
596,.,9.209537,8.47389,.,26.9,30.9,24.7,6.2,1665,0,7857,13,3188,1978,965
597,.,10.37159,8.139707,.,26.1,30.3,23.3,6.9,1271,0,7576,20,2906,2017,1207
598,.,10.37159,8.139707,.,26.1,30.3,23.3,6.9,1271,0,7576,20,2906,2017,1207
599,.,12.215768,8.238843,.,27.8,32.8,22.4,10.4,756,0,8179,15,3489,2198,1550
600,.,12.215768,8.238843,.,27.8,32.8,22.4,10.4,756,0,8179,15,3489,2198,1550
601,.,12.215768,8.238843,.,27.8,32.8,22.4,10.4,756,0,8179,15,3489,2198,1550
