id,placeholder1,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,DD_0,DD5,DD_18,DD18,Eref,CMD
57101,.,-13.966667,33.65,.,21.4,24.2,18,6.2,910,0,5903,150,1364,2110,1300
57103,.,-13.966667,33.65,.,21.4,24.2,18,6.2,910,0,5903,150,1364,2110,1300
57105,.,-13.966667,33.65,.,21.4,24.2,18,6.2,910,0,5903,150,1364,2110,1300
57827,.,-13.966667,33.65,.,21.4,24.2,18,6.2,910,0,5903,150,1364,2110,1300
57829,.,-13.966667,33.65,.,21.4,24.2,18,6.2,910,0,5903,150,1364,2110,1300
57831,.,-13.966667,33.65,.,21.4,24.2,18,6.2,910,0,5903,150,1364,2110,1300
57959,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57960,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57961,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57962,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57963,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57964,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57965,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57966,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57967,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57968,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57969,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57970,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57971,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57972,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57973,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57974,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
57975,.,-1.910206,30.504669,.,20.6,21.8,19.3,2.5,1108,0,5615,158,1053,1911,800
