id,placeholder1,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,DD_0,DD5,DD_18,DD18,Eref,CMD
56408,.,-4.066667,37.733333,.,22.7,24.6,19.8,4.7,649,0,6342,76,1733,2019,1359
56490,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56492,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56494,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56496,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56498,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56500,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56502,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56504,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56506,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56508,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56510,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56512,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56514,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56516,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
56569,.,0.1,34.4,.,21.8,22.7,20,2.7,1622,0,6035,95,1430,1989,504
56573,.,0.1,34.4,.,21.8,22.7,20,2.7,1622,0,6035,95,1430,1989,504
56584,.,-19.8,30.883333,.,19.9,23.4,14.7,8.7,500,0,5346,356,1040,2170,1595
56587,.,-17.416667,31.433333,.,21.6,25.2,16.8,8.4,660,0,5970,173,1460,2247,1653
56593,.,-17.566667,30.983333,.,20.2,23.9,15.6,8.3,655,0,5457,290,1067,2153,1566
56596,.,-17,31.433333,.,20.9,24.4,16.1,8.3,679,0,5710,223,1246,2148,1576
56601,.,-17,31.433333,.,20.9,24.4,16.1,8.3,679,0,5710,223,1246,2148,1576
56612,.,-16.233333,27.416667,.,21.8,26,16.4,9.6,823,0,6032,176,1533,2333,1645
56616,.,-13.7,32.616667,.,22.3,26,18.2,7.8,994,0,6220,110,1646,2181,1346
56622,.,-16.233333,27.433333,.,21.8,25.9,16.4,9.6,820,0,6017,179,1520,2326,1640
56627,.,-15.166667,35.283333,.,23,26.8,18.9,7.9,1162,0,6447,86,1850,2130,1179
56635,.,-14.966667,34.983333,.,23.7,27.6,19.1,8.5,1078,0,6707,70,2096,2243,1274
56641,.,-14.783333,35,.,23.1,27.2,18.5,8.7,1071,0,6498,90,1904,2157,1246
56646,.,-14.883333,35.033333,.,23.5,27.6,18.8,8.8,1092,0,6634,77,2028,2189,1228
56653,.,-13.766667,34.05,.,21.2,24.7,17,7.7,1097,0,5835,172,1312,2034,1224
56662,.,-12.8,34.2,.,24.6,28.7,20.7,8,1153,0,7048,39,2404,2079,1228
56669,.,-13.283333,34.133333,.,23.8,27.6,19.6,8,1111,0,6764,59,2145,2172,1261
56676,.,-13.233333,34.233333,.,24.4,28.5,20.2,8.3,1127,0,6976,45,2337,2132,1293
56683,.,-13.283333,34.133333,.,23.8,27.6,19.6,8,1111,0,6764,59,2145,2172,1261
56694,.,-13.233333,34.233333,.,24.4,28.5,20.2,8.3,1127,0,6976,45,2337,2132,1293
56710,.,-0.583333,38.083333,.,23.4,25.1,21,4,789,0,6625,50,1997,2001,1238
56732,.,-14.983333,34.966667,.,23.7,27.5,19,8.5,1069,0,6703,71,2093,2243,1284
56735,.,-14.983333,34.966667,.,23.7,27.5,19,8.5,1069,0,6703,71,2093,2243,1284
56738,.,-14.983333,34.966667,.,23.7,27.5,19,8.5,1069,0,6703,71,2093,2243,1284
56741,.,-14.983333,34.966667,.,23.7,27.5,19,8.5,1069,0,6703,71,2093,2243,1284
56756,.,-18.116667,33.183333,.,22.9,26.3,17.9,8.4,975,0,6416,109,1841,2268,1496
56759,.,-18.116667,33.183333,.,22.9,26.3,17.9,8.4,975,0,6416,109,1841,2268,1496
56762,.,-18.116667,33.183333,.,22.9,26.3,17.9,8.4,975,0,6416,109,1841,2268,1496
56765,.,-18.116667,33.183333,.,22.9,26.3,17.9,8.4,975,0,6416,109,1841,2268,1496
56918,.,-18.1,33.2,.,23,26.5,18,8.4,929,0,6465,103,1885,2286,1538
56931,.,-19,33.716667,.,23,25.9,19,6.9,833,0,6474,87,1871,2237,1541
57106,.,7.233333,3.433333,.,27.4,29.7,25.3,4.4,1533,0,8043,9,3377,1892,819
57108,.,7.233333,3.433333,.,27.4,29.7,25.3,4.4,1533,0,8043,9,3377,1892,819
57110,.,7.233333,3.433333,.,27.4,29.7,25.3,4.4,1533,0,8043,9,3377,1892,819
57112,.,7.233333,3.433333,.,27.4,29.7,25.3,4.4,1533,0,8043,9,3377,1892,819
57136,.,-4.066667,37.733333,.,22.7,24.6,19.8,4.7,649,0,6342,76,1733,2019,1359
57218,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57220,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57222,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57224,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57226,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57228,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57230,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57232,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57234,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57236,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57238,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57240,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57242,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57244,.,-20.383333,28.516667,.,19.8,23.3,14.5,8.8,530,0,5309,369,1014,2248,1691
57297,.,0.1,34.4,.,21.8,22.7,20,2.7,1622,0,6035,95,1430,1989,504
57301,.,0.1,34.4,.,21.8,22.7,20,2.7,1622,0,6035,95,1430,1989,504
57312,.,-19.8,30.883333,.,19.9,23.4,14.7,8.7,500,0,5346,356,1040,2170,1595
57315,.,-17.416667,31.433333,.,21.6,25.2,16.8,8.4,660,0,5970,173,1460,2247,1653
57321,.,-17.566667,30.983333,.,20.2,23.9,15.6,8.3,655,0,5457,290,1067,2153,1566
57324,.,-17,31.433333,.,20.9,24.4,16.1,8.3,679,0,5710,223,1246,2148,1576
57329,.,-17,31.433333,.,20.9,24.4,16.1,8.3,679,0,5710,223,1246,2148,1576
57340,.,-16.233333,27.416667,.,21.8,26,16.4,9.6,823,0,6032,176,1533,2333,1645
57344,.,-13.7,32.616667,.,22.3,26,18.2,7.8,994,0,6220,110,1646,2181,1346
57350,.,-16.233333,27.433333,.,21.8,25.9,16.4,9.6,820,0,6017,179,1520,2326,1640
57355,.,-15.166667,35.283333,.,23,26.8,18.9,7.9,1162,0,6447,86,1850,2130,1179
57363,.,-14.966667,34.983333,.,23.7,27.6,19.1,8.5,1078,0,6707,70,2096,2243,1274
57369,.,-14.783333,35,.,23.1,27.2,18.5,8.7,1071,0,6498,90,1904,2157,1246
