id,placeholder1,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,DD_0,DD5,DD_18,DD18,Eref,CMD
56406,.,-4.066667,37.733333,.,22.8,24.4,19.7,4.7,576,0,6387,72,1780,2000,1358
56407,.,-4.066667,37.733333,.,22.8,24.4,19.7,4.7,576,0,6387,72,1780,2000,1358
56424,.,-0.75,37.75,.,23.3,25.1,20.3,4.8,759,0,6567,57,1941,2013,1229
56428,.,-0.75,37.75,.,23.3,25.1,20.3,4.8,759,0,6567,57,1941,2013,1229
56432,.,-0.75,37.75,.,23.3,25.1,20.3,4.8,759,0,6567,57,1941,2013,1229
56436,.,-0.75,37.75,.,23.3,25.1,20.3,4.8,759,0,6567,57,1941,2013,1229
56489,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56491,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56493,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56495,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56497,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56499,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56501,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56503,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56505,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56507,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56509,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56511,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56513,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56515,.,-20.383333,28.516667,.,19.8,22.9,14.1,8.9,543,0,5322,396,1045,2285,1778
56568,.,0.1,34.4,.,21.8,23.2,20,3.2,1811,0,6047,95,1457,1976,516
56572,.,0.1,34.4,.,21.8,23.2,20,3.2,1811,0,6047,95,1457,1976,516
56583,.,-19.8,30.883333,.,20,23.3,14.2,9,688,0,5377,372,1077,2223,1608
56592,.,-17.566667,30.983333,.,20.3,23.6,15.2,8.4,898,0,5502,292,1117,2197,1417
56611,.,-16.233333,27.416667,.,22,25.5,16.6,9,862,0,6098,175,1597,2352,1619
56621,.,-16.233333,27.433333,.,22,25.5,16.5,8.9,862,0,6082,177,1584,2345,1613
56626,.,-15.166667,35.283333,.,23.2,26.7,18.6,8.2,1113,0,6536,79,1931,2116,1274
