id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m,irr
9358,0.808688998222351,34.3362693786621,2010,LSMS_UGA2009,3.08881453769095,24.4,21.6,23.0,1677,49,66,27,24,0.0
9359,0.808688998222351,34.3362693786621,2010,LSMS_UGA2009,0.131206281247049,24.4,21.6,23.0,1677,49,66,27,24,0.0
9360,2.56120610237122,32.9409027099609,2010,LSMS_UGA2009,0.148263097809166,27.3,24.6,25.8,1375,49,78,21,28,0.0
9361,2.81874704360962,32.2802124023438,2010,LSMS_UGA2009,0.213021692254548,27.3,24.3,25.6,1467,47,72,23,26,0.0
9362,2.31616306304932,32.9403533935547,2010,LSMS_UGA2009,1.05902212720833,26.5,23.7,25.0,1521,48,84,20,27,0.0
9363,3.28149700164795,31.5641326904297,2010,LSMS_UGA2009,0.255626030705458,30.0,26.6,28.1,1090,48,92,24,27,0.0
9364,2.47238397598267,31.0622043609619,2010,LSMS_UGA2009,0.249181670000837,26.2,23.7,24.6,1258,51,102,24,27,0.0
9365,2.59279298782349,30.797737121582,2010,LSMS_UGA2009,0.148263097809166,24.0,21.2,22.3,1400,48,99,23,30,0.0
9366,2.52995300292969,30.7862167358398,2010,LSMS_UGA2009,0.382121386106097,23.6,20.8,22.0,1403,48,99,24,30,0.0
9367,3.57426190376282,31.1324863433838,2010,LSMS_UGA2009,0.24305425870355,27.7,24.4,25.7,1265,49,71,23,25,0.0
9368,3.34775996208191,31.1935329437256,2010,LSMS_UGA2009,0.359861887886324,27.9,24.8,26.2,1315,48,76,21,24,0.0
9369,3.44252800941467,30.9456558227539,2010,LSMS_UGA2009,0.673923175511567,26.5,23.4,24.6,1381,48,85,21,28,0.0
9370,3.27729201316834,30.9756202697754,2010,LSMS_UGA2009,2.47105159333123,27.0,24.0,25.2,1403,49,69,23,24,0.0
9371,-0.52835601568222,29.9541797637939,2010,LSMS_UGA2009,0.797113429081536,23.1,21.7,22.5,1637,48,106,26,28,0.0
9372,1.44564294815063,31.3347625732422,2010,LSMS_UGA2009,1.42560676199446,25.0,22.7,23.8,1455,51,103,23,29,0.0
9373,-0.89675098657608,29.7783241271973,2010,LSMS_UGA2009,0.852086769018193,21.3,19.6,20.4,1796,47,111,25,31,0.0
9374,0.419649988412857,31.0364627838135,2010,LSMS_UGA2009,2.24641057286615,22.8,21.4,22.0,1403,51,117,25,30,0.0
9375,0.822012007236481,30.7921314239502,2010,LSMS_UGA2009,0.466236156632596,23.9,22.0,22.9,1459,51,109,24,28,0.0
9376,0.447066992521286,30.1652870178223,2010,LSMS_UGA2009,0.470676500981478,22.1,20.8,21.4,1409,53,119,28,31,0.0
9377,1.2560830116272,30.8103256225586,2010,LSMS_UGA2009,0.296526195618331,24.9,22.6,23.6,1366,50,103,24,29,0.0
9378,0.0148299997672439,30.5203266143799,2010,LSMS_UGA2009,0.340834707607277,22.8,21.4,22.1,1495,51,104,31,27,0.0
9379,1.53158402442932,34.0501136779785,2010,LSMS_UGA2009,0.288135684486096,26.2,23.4,24.8,1544,51,67,22,26,0.0
9380,1.054034948349,34.3706207275391,2010,LSMS_UGA2009,1.19721493708952,22.7,20.1,21.5,1834,50,120,26,31,0.0
