id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m,SubsistenceRatio
0,5.14203254737,7.37471602851,2011,,10.6666666666667,28.6,25.5,26.9,2296,42,93,26,24,0.999467134475708
1,5.31524834074,7.4334346461,2011,,1.53048210186209,28.5,25.4,26.9,2157,41,77,22,25,0.959174871444702
2,5.31524834074,7.4334346461,2011,,1.85919682697075,28.5,25.4,26.9,2157,41,77,22,25,0.959174871444702
3,5.31524834074,7.4334346461,2011,,7.76531492666091,28.5,25.4,26.9,2157,41,77,22,25,0.959174871444702
4,5.31524834074,7.4334346461,2011,,8.0296479308215,28.5,25.4,26.9,2157,41,77,22,25,0.959174871444702
5,5.91892832509,7.42249845731,2011,,6.19101123595506,29,25.5,26.9,1986,43,79,23,24,0.962814211845398
6,5.91892832509,7.42249845731,2011,,2.05415499533147,29,25.5,26.9,1986,43,79,23,24,0.962814211845398
7,5.91892832509,7.42249845731,2011,,1.71438162374718,29,25.5,26.9,1986,43,79,23,24,0.962814211845398
8,5.91892832509,7.42249845731,2011,,0.63276576161988,29,25.5,26.9,1986,43,79,23,24,0.962814211845398
9,5.38520298007,7.5278870437,2011,,1.60918433077076,28.7,25.5,26.9,2201,41,88,23,26,0.955756425857544
10,5.38520298007,7.5278870437,2011,,2.00578128644225,28.7,25.5,26.9,2201,41,88,23,26,0.955756425857544
11,5.38520298007,7.5278870437,2011,,0.925233644859813,28.7,25.5,26.9,2201,41,88,23,26,0.955756425857544
12,5.69861467033,7.51949932817,2011,,1.37190484881669,28.9,25.5,27,2185,43,90,22,25,0.501082599163055
13,5.69861467033,7.51949932817,2011,,1.40559071729958,28.9,25.5,27,2185,43,90,22,25,0.501082599163055
14,9.68199592163,11.8269506538,2011,,0.580012760280726,32.4,25.5,28.6,647,43,60,25,19,0.954325318336487
15,6.16779029063,7.00668904073,2011,,4.06779661016949,29.3,25.5,27.1,1927,44,92,24,25,
16,6.29487701088,7.06416881346,2011,,6.66222518321119,30,26,27.6,1927,43,69,22,22,
17,6.29487701088,7.06416881346,2011,,10.4079933388843,30,26,27.6,1927,43,69,22,22,
18,6.29487701088,7.06416881346,2011,,1.76439748297734,30,26,27.6,1927,43,69,22,22,
19,6.31316440344,6.96516116294,2011,,7.85340314136126,30,26,27.6,1884,43,69,21,23,
20,6.10137761736,7.18988708702,2011,,0.658446067281217,29.6,25.9,27.4,2061,43,72,22,25,
21,6.10137761736,7.18988708702,2011,,0.718766335598536,29.6,25.9,27.4,2061,43,72,22,25,
22,6.10137761736,7.18988708702,2011,,0.916284881299459,29.6,25.9,27.4,2061,43,72,22,25,
23,6.55332176691,7.02906000742,2011,,1.23039064903107,30.3,26,27.7,1953,44,66,21,21,
