id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m
44,7.11120144337,7.74246020701,2011,LSMS_NGA2010,0.675371454299865,30.2,25.8,27.2,1496,42,76,21,22
45,7.11120144337,7.74246020701,2011,LSMS_NGA2010,0.76107362118829,30.2,25.8,27.2,1496,42,76,21,22
46,7.11120144337,7.74246020701,2011,LSMS_NGA2010,1.35044062948539,30.2,25.8,27.2,1496,42,76,21,22
47,7.11120144337,7.74246020701,2011,LSMS_NGA2010,1.19719514280828,30.2,25.8,27.2,1496,42,76,21,22
48,7.13124337986,7.67714309718,2011,LSMS_NGA2010,0.342489211589835,29.3,24.9,26.3,1479,42,81,22,23
49,6.69323689452,9.22460085821,2011,LSMS_NGA2010,0.280092430502066,29.8,25.4,26.9,2148,43,92,23,24
50,6.69323689452,9.22460085821,2011,LSMS_NGA2010,0.264357940651642,29.8,25.4,26.9,2148,43,92,23,24
51,6.69323689452,9.22460085821,2011,LSMS_NGA2010,1.6594756057086,29.8,25.4,26.9,2148,43,92,23,24
52,6.69323689452,9.22460085821,2011,LSMS_NGA2010,1.52421151365928,29.8,25.4,26.9,2148,43,92,23,24
53,6.50579840795,8.87016201696,2011,LSMS_NGA2010,3.21144129485313,30.3,26,27.7,2201,40,93,23,25
54,6.44305604944,6.58324477885,2011,LSMS_NGA2010,1.06258633513973,29.9,26,27.5,1786,44,85,22,24
55,6.11554285941,6.17661906842,2011,LSMS_NGA2010,2.54237288135593,29.1,25.4,27,1830,41,87,22,24
56,7.46485632748,5.4293907403,2011,LSMS_NGA2010,0.819672131147541,29.4,24.6,26.5,1351,42,77,21,21
57,10.4839449376,11.3966333392,2011,LSMS_NGA2010,4.41612516560469,33,23.9,28.8,702,44,43,21,16
58,9.86015744722,11.1997429657,2011,LSMS_NGA2010,1.75438596491228,31.1,23.5,27.3,746,42,44,24,17
